epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
46,43.1787,3.32033,5.77373,4.3329,0,0,0,0,3.49609,5.29177,4.15668,2.96935e-05,2.96935e-05,2.96935e-05
47,44.0662,2.73911,5.74624,4.23491,0,0,0,0,3.49634,5.29297,4.15669,2.98114e-05,2.98114e-05,2.98114e-05
48,45.0533,3.22325,5.53631,4.23457,0,0,0,0,3.49613,5.29207,4.15679,2.99058e-05,2.99058e-05,2.99058e-05
49,45.9447,2.93577,5.58465,4.21239,0,0,0,0,3.49641,5.28978,4.15664,2.99766e-05,2.99766e-05,2.99766e-05
50,47.0083,3.36495,5.37434,4.20634,0,0,0,0,3.49903,5.29016,4.15682,3.00238e-05,3.00238e-05,3.00238e-05
51,47.9283,3.35358,5.50523,4.1785,0,0,0,0,3.49881,5.29224,4.15694,3.00475e-05,3.00475e-05,3.00475e-05
52,48.7951,2.95836,5.53693,4.21165,0,0,0,0,3.49795,5.29369,4.15704,3.00476e-05,3.00476e-05,3.00476e-05
53,49.6475,2.99343,5.68852,4.18665,0,0,0,0,3.49881,5.29193,4.15786,3.00242e-05,3.00242e-05,3.00242e-05
54,50.5218,2.95997,5.38795,4.20027,0,0,0,0,3.50058,5.29077,4.15874,2.99772e-05,2.99772e-05,2.99772e-05
55,51.528,3.10451,5.68661,4.20038,0,0,0,0,3.50019,5.29212,4.15914,2.99066e-05,2.99066e-05,2.99066e-05
56,52.4001,3.0111,5.61604,4.26771,0,0,0,0,3.50059,5.29189,4.15979,2.98125e-05,2.98125e-05,2.98125e-05
57,53.3717,3.19335,5.74395,4.17901,0,0,0,0,3.5025,5.28911,4.16051,2.96948e-05,2.96948e-05,2.96948e-05
58,54.3272,2.82208,5.57043,4.24711,0,0,0,0,3.50262,5.29059,4.16155,2.95535e-05,2.95535e-05,2.95535e-05
59,55.3237,3.05856,5.59957,4.19324,0,0,0,0,3.50463,5.28843,4.16243,2.93887e-05,2.93887e-05,2.93887e-05
60,56.2272,2.90021,5.41866,4.22766,0,0,0,0,3.50503,5.29123,4.16329,2.92003e-05,2.92003e-05,2.92003e-05
