epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27517.7,1.27303,1.75636,1.29459,0.56097,0.39244,0.4211,0.29019,1.20642,1.4312,1.24765,0.008614,0.008614,0.008614
44,28170.2,1.27213,1.75346,1.29285,0.5666,0.39293,0.42302,0.29136,1.20462,1.42677,1.2452,0.008581,0.008581,0.008581
45,28818.6,1.27094,1.75196,1.29251,0.56361,0.39582,0.42457,0.29241,1.20354,1.42212,1.24373,0.008548,0.008548,0.008548
46,29469.3,1.2708,1.74956,1.29193,0.56992,0.39493,0.42561,0.29309,1.2029,1.41854,1.24244,0.008515,0.008515,0.008515
47,30126.7,1.27054,1.74635,1.29107,0.56993,0.39565,0.42727,0.29397,1.20172,1.41535,1.24087,0.008482,0.008482,0.008482
48,30812.7,1.26853,1.73859,1.28776,0.57527,0.394,0.42873,0.29521,1.20097,1.41099,1.23962,0.008449,0.008449,0.008449
49,31489.8,1.2675,1.73826,1.28967,0.58159,0.39439,0.42996,0.29607,1.19976,1.40756,1.23836,0.008416,0.008416,0.008416
50,32133.9,1.26452,1.73697,1.28681,0.57785,0.39546,0.43145,0.2972,1.19864,1.40406,1.23711,0.008383,0.008383,0.008383
51,32769.9,1.2646,1.73261,1.28606,0.57787,0.39629,0.43241,0.29824,1.19707,1.40053,1.23556,0.00835,0.00835,0.00835
52,33392.1,1.26657,1.73264,1.28693,0.57912,0.39954,0.43314,0.29889,1.19585,1.39777,1.23435,0.008317,0.008317,0.008317
53,34017.8,1.26311,1.72602,1.28382,0.57375,0.40233,0.4337,0.29985,1.19398,1.39481,1.23251,0.008284,0.008284,0.008284
54,34636.4,1.26323,1.72219,1.28375,0.57606,0.4024,0.43523,0.30089,1.19305,1.39155,1.23146,0.008251,0.008251,0.008251
55,35255.6,1.26145,1.72102,1.28225,0.57304,0.40455,0.43589,0.30169,1.19302,1.38846,1.23046,0.008218,0.008218,0.008218
56,35873.2,1.26066,1.71698,1.28173,0.57414,0.40633,0.43666,0.30201,1.19188,1.38619,1.22924,0.008185,0.008185,0.008185
57,36511.3,1.26142,1.71571,1.28076,0.57889,0.40422,0.4375,0.30294,1.19115,1.38296,1.22845,0.008152,0.008152,0.008152
58,37140.3,1.25886,1.71145,1.27959,0.57462,0.40778,0.43875,0.30398,1.19072,1.38002,1.22764,0.008119,0.008119,0.008119
59,37768.9,1.25766,1.71286,1.28081,0.57765,0.40649,0.43996,0.30442,1.18986,1.37744,1.22669,0.008086,0.008086,0.008086
60,38392.3,1.25835,1.71167,1.27859,0.58223,0.40501,0.44014,0.30476,1.18948,1.37486,1.2264,0.008053,0.008053,0.008053
61,39014,1.25587,1.7042,1.27609,0.57883,0.40742,0.4405,0.30514,1.1893,1.37278,1.22582,0.00802,0.00802,0.00802
62,39633.8,1.25499,1.70598,1.2751,0.58317,0.40774,0.44135,0.30581,1.18818,1.37088,1.22417,0.007987,0.007987,0.007987
63,40246.3,1.2552,1.70483,1.27611,0.57846,0.40948,0.44209,0.30682,1.18653,1.3686,1.22269,0.007954,0.007954,0.007954
64,40863.3,1.25377,1.70001,1.27439,0.57635,0.41139,0.4427,0.30742,1.18517,1.36696,1.22144,0.007921,0.007921,0.007921
65,41479.7,1.25233,1.69644,1.2748,0.57803,0.40993,0.44358,0.30797,1.18515,1.36528,1.22092,0.007888,0.007888,0.007888
66,42095.8,1.25421,1.69701,1.27435,0.57265,0.41279,0.44449,0.30893,1.18491,1.36347,1.22009,0.007855,0.007855,0.007855
67,42720.5,1.25081,1.69132,1.27289,0.5734,0.41371,0.44554,0.30984,1.18449,1.36136,1.21934,0.007822,0.007822,0.007822
68,43348.5,1.25043,1.6917,1.27158,0.57926,0.41093,0.44593,0.31051,1.1838,1.36041,1.21842,0.007789,0.007789,0.007789
69,43980.4,1.25156,1.69173,1.27149,0.58629,0.40964,0.4469,0.31074,1.18387,1.35854,1.21801,0.007756,0.007756,0.007756
