epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,637.72,2.78637,4.75094,3.15996,0.41194,0.02728,0.01702,0.00797,2.05572,3.39659,2.30259,0.00333288,0.00333288,0.00333288
2,1255.65,1.81978,3.41006,1.97907,0.24523,0.12074,0.08109,0.04509,1.71944,2.70486,1.88407,0.00664422,0.00664422,0.00664422
3,1895.97,1.65266,2.9116,1.7632,0.29728,0.18204,0.13959,0.08317,1.57533,2.36201,1.7056,0.00993355,0.00993355,0.00993355
